Map Order,Name,Number,Street,City,State,Zip,Full Address,Phone Number,Type,Source,Latitude,Longitude
66,West Valley Food Pantry,5700,Rudnick Ave,Los Angeles,CA,91367,"5700 Rudnick Ave, Los Angeles, CA",(818) 346-5554,Food Pantry,Los Angeles County,34.17443,-118.612453
67,Joy Commuinty Outreach to End Homelessness,1938,S Western Ave,Los Angeles,CA,90018,"1938 S Western Ave, Los Angeles, CA",(323) 939-5808,Food Pantry,Los Angeles County,34.029087,-118.309077
68,"North Valley Caring Services, Inc.",15453,Rayen St,Los Angeles,CA,91343,"15453 Rayen St, Los Angeles, CA",(818) 891-0481,Food Pantry,Los Angeles County,34.231865,-118.484907
69,Peace Lutheran Church,11690,Fenton Ave,Los Angeles,CA,91342,"11690 Fenton Ave, Los Angeles, CA",(818) 899-3950,Food Pantry,Los Angeles County,34.308755,-118.419627
70,Salvation Army Corps Community Center - South Central Los Angeles,7651,S Central Ave,Los Angeles,CA,90001,"7651 S Central Ave, Los Angeles, CA",(323) 586-0288,Food Pantry,Los Angeles County,33.974775,-118.256547
71,Rescue Mission Alliance - Valley Food Bank - Valley Park Church,16514,Nordhoff St,Los Angeles,CA,91343,"16514 Nordhoff St, Los Angeles, CA",(818) 894-9316,Food Pantry,Los Angeles County,34.235478,-118.4825
72,Rescue Mission Alliance - Valley Food Bank - Valley Korean United Methodist Church,10408,Balboa Blvd,Los Angeles,CA,91344,"10408 Balboa Blvd, Los Angeles, CA",(818) 366-0089,Food Pantry,Los Angeles County,34.2873,-118.502214
73,Community Outreach Center,11350,Saticoy St,Los Angeles,CA,91352,"11350 Saticoy St, Los Angeles, CA",(818) 759-0616,Food Pantry,Los Angeles County,34.208597,-118.36686
74,Khalsa Care Foundation,9989,Laurel Canyon Blvd,Los Angeles,CA,91331,"9989 Laurel Canyon Blvd, Los Angeles, CA",,Food Pantry,Los Angeles County,34.254959,-118.428152
75,Karsh Family Social Service Center,3750,W 6th St,Los Angeles,CA,90020,"3750 W 6th St, Los Angeles, CA",(213) 401-4651,Food Pantry,Los Angeles County,34.063368,-118.312597
76,ILM Foundation,2900,W Slauson Ave,Los Angeles,CA,90043,"2900 W Slauson Ave, Los Angeles, CA",,Food Pantry,Los Angeles County,33.988816,-118.336432
77,West Washington LA Foursquare Church,5175,1/2 W Washington Blvd,Los Angeles,CA,90016,"5175 1/2 W Washington Blvd, Los Angeles, CA",(323) 939-4716,Food Pantry,Los Angeles County,34.039758,-118.318885
78,St. Francis Center,1835,S. Hope St.,Los Angeles,CA,90015,"1835 S. Hope St. Los Angeles, CA 90015",(213) 747-5347,Food Pantry,Organization Referral,34.034172,-118.269835
79,Latino Equality Alliance: Mi Centro: Pride Pantry,553,S. Clarence St.,Los Angeles,CA,90033,553 S. Clarence St. Los Angeles CA 90033,,Food Pantry,Organization Referral,34.039485,-118.223458
80,Boys & Girls Club of Metro Los Angeles: Challengers Club,5029,S Vermont Ave,Los Angeles,CA,90037,"5029 S. Vermont Ave., Los Angeles, CA 90037",,Food Pantry,Organization Referral,33.997433,-118.291859
81,Boys & Girls Club of Metro Los Angeles: Jordan Downs,2131,E Century Blvd.,Los Angeles,CA,90002,"2131 East Century Blvd., Los Angeles, CA 90002",,Food Pantry,Organization Referral,33.957343,-118.235948
82,Boys & Girls Club of Metro Los Angeles: Watts Willowbrook,1339,E 120th St,Los Angeles,CA,90059,"1339 East 120th St., Los Angeles, CA 90059",,Food Pantry,Organization Referral,33.924395,-118.25134
