Object ID,APN - Assessor's Parcel Number,Full Address,Agency Owner Name,Agency Type,Use Type,Use Description,Zip Code,Tax Rate Area,Tax Rate City,Agency Class No,Use Code,Use Code 2,Design Type 1,Year Built,Effective Year,Units,Bedrooms,Bathrooms,Square Feet Main,Design Type 2,Year Built 2,Effective Year 2,Units 2,Bedrooms 2,Bathrooms 2,Square Feet Main 2,Design Type 3,Year Built 3,Effective Year 3,Units 3,Bedrooms 3,Bathrooms 3,Square Feet Main 3,Design Type 4,Year Built 4,Effective Year 4,Units 4,Bedrooms 4,Bathrooms 4,Design Type 5,Year Built 5,Effective Year 5,Units 5,Bedrooms 5,Bathrooms 5,Square Feet Main 5,Roll Year,Roll Land Value,Roll Improvement Value,Roll Pers Prop Value,Roll Fixture Value,Roll Home Owners Exemption,Roll Real Estate Exemption,Roll Pers Prop Exemption,Roll Fixture Exemption,Roll Land Base Year,Roll Imp Base Year,Quality Class 1,Quality Class 2,Quality Class 3,Quality Class 4,Quality Class 5,Spatial Change Date,Parcel Create Date,Parcel Type Code,Assessor Map,Assessor IndexMap,Legal Description Line 1,Legal Description Line 2,Legal Description Line 3,Legal Description Line 4,Legal Description Line 5,Legal Description Line Last,Shape,CENTER LON,CENTER X,CENTER Y,Location 1,LAT LON
"10,087",2216-029-900,,L A City S by S,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.198016, -118.432332"
"10,088",2216-032-900,,L A City S by S,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.200257, -118.434545"
"10,089",2216-032-901,,L A City S by S,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.200257, -118.434399"
"10,090",2216-032-902,,L A City S by S,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.200292, -118.434307"
"10,093",2217-010-900,,L A City,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.194906, -118.444903"
"10,207",5205-004-900,,L A City,LA City,Government,Government Parcel,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.086248, -118.213565"
"10,094",2217-010-901,,L A City,LA City,Commercial,Supermarkets,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6801 LENNOX AVE
(34.19457, -118.445447)","34.194502, -118.446054"
"10,095",2217-014-900,,L A City,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6961 HAZELTINE AVE
(34.197484, -118.439997)","34.197490, -118.440336"
"10,096",2217-028-900,,L A City S by S,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.203995, -118.441597"
"10,200",5204-016-901,,L A City,LA City,Government,Government Parcel,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.072912, -118.213975"
"10,097",2217-028-901,,L A City S by S,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.203121, -118.441091"
"10,098",2218-016-900,,L A City,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.204559, -118.453090"
"10,100",2220-002-900,,L A City,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.199319, -118.462970"
"10,201",5205-001-900,,L A City,LA City,Government,Government Parcel,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.082560, -118.222231"
"10,101",2220-002-904,,L A City S by S,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.198700, -118.462295"
"2,007",3022-005-900,VAC/VIC AVE P4/17TH STE PALMDALE CA 93550,L A City Ex at Acq,LA City,Government,Government Parcel,93550,7024,unincorporated,236008,8800,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,0,0,,,,,,,0,0,3022-005,3022-NDX,W 1/2 OF SW 1/4 OF NE 1/4 OF NE 1/4 OF,,,,,SEC   24 T   6N R 12W,34,-118,"6,532,114","2,040,566","VAC/VIC AVE P4/17TH STE
PALMDALE CA","34.599499, -118.098203"
"10,102",2220-003-904,,,,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.199364, -118.463299"
"10,103",2220-009-900,,L A City S by S,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.198164, -118.465121"
"10,202",5205-001-901,,L A City,LA City,Government,Government Parcel,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.083744, -118.220484"
"10,104",2221-011-900,,L A City,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.204366, -118.463940"
"2,154",3024-018-280,VAC/VIC 62 STE/VIC PALMDALE BL PALMDALE CA 93552,,,Residential,Single,93552,6946,unincorporated,,010V,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,"17,861",0,0,0,0,0,0,0,"2,008","2,008",,,,,,1195216267000,20070711,0,3024-018,3024-NDX,"S 300 FT,N 960 FT,S 1/2,E 1/2,E 1/2,W",,,,,"1/2,E 1/2,NW 1/4 OF SEC 26 T 6N R 11W",34,-118,"6,556,717","2,033,864","VAC/VIC 62 STE/VIC PALMDALE BL
PALMDALE CA","34.581123, -118.016442"
"2,155",3024-018-281,VAC/AVE R/VIC 60 STE PALMDALE CA 93552,,,Residential,Single,93552,6946,unincorporated,,010V,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,"8,985",0,0,0,0,0,0,0,"2,008","2,008",,,,,,,20080207,0,3024-018,3024-NDX,N 240 FT OF W 1/2 OF E 1/2 OF W 1/2 OF,,,,,E 1/2 OF NW 1/4 OF SEC 26 T6N R11W,34,-118,"6,556,540","2,035,902","VAC/AVE R/VIC 60 STE
PALMDALE CA","34.586723, -118.017030"
"2,156",3024-018-282,VAC/VIC AVE R/VIC 60 STE PALMDALE CA 93552,,,Residential,Single,93552,6946,unincorporated,,010V,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,"8,985",0,0,0,0,0,0,0,"2,008","2,008",,,,,,,20080207,0,3024-018,3024-NDX,POR OF W 1/2 OF E 1/2 OF W 1/2 OF E 1/2,,,,,OF NW 1/4 SEC 26 T6N R11W,34,-118,"6,556,542","2,035,512","VAC/VIC AVE R/VIC 60 STE
PALMDALE CA","34.585651, -118.017025"
"2,157",3024-018-283,VAC/VIC 63RD STE/VIC PALMDALE BL PALMDALE CA 93552,,,Residential,Single,93552,6946,unincorporated,,010V,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,"17,861",0,0,0,0,0,0,0,"2,008","2,008",,,,,,1216106830000,20080326,0,3024-018,3024-NDX,POR OF S 1/2 OF E 1/2 OF E 1/2 OF W 1/2,,,,,OF E 1/2 OF NW 1/4 OF SEC 26 T6N R11W,34,-118,"6,556,716","2,034,189","VAC/VIC 63RD STE/VIC PALMDALE BL
PALMDALE CA","34.582016, -118.016445"
"2,158",3024-018-284,VAC/VIC 63RD STE/VIC PALMDALE BL PALMDALE CA 93552,,,Residential,Single,93552,6946,unincorporated,,010V,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,"28,932",0,0,0,0,0,0,0,"2,009","2,009",,,,,,1233564422000,20081006,0,3024-018,3024-NDX,"S 480 FT OF N 2160 FT OF W 1/2,E 1/2,W",,,,,"1/2,E 1/2,NW 1/4 OF SEC 26 T6N R11W",34,-118,"6,556,548","2,034,075","VAC/VIC 63RD STE/VIC PALMDALE BL
PALMDALE CA","34.581703, -118.017004"
"10,105",2221-012-900,,L A City S by S,LA City,Residential,Single,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.203919, -118.461014"
"10,210",5205-010-900,,L A  City Dept of Water & Power,LADWP,Government,Government Parcel,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.082652, -118.217384"
"10,106",2221-015-900,,L A City S by S,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.203873, -118.460731"
"10,107",2221-015-901,,L A City,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.203873, -118.460827"
"2,273",3025-013-900,VAC/75TH STE/VIC AVE N12 PALMDALE CA 93552,L A City,LA City,Government,Government Parcel,93552,7063,unincorporated,236000,8800,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,0,0,,,,,,,0,0,3025-013,3025-NDX,TRACT NO 8597 LOTS 53 AND,,,,,LOT   54,34,-117,"6,563,465","2,047,706","VAC/75TH STE/VIC AVE N12
PALMDALE CA","34.619157, -117.994022"
"2,286",3025-014-900,VAC/COR AVE O/72ND STE PALMDALE CA 93552,L A City,LA City,Government,Government Parcel,93552,7063,unincorporated,236000,8800,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,0,0,,,,,,1128952917000,0,0,3025-014,3025-NDX,TRACT NO 8597 LOT 52 AND EX OF ST LOTS,,,,,59 AND LOT   60,34,-117,"6,562,225","2,047,259","VAC/COR AVE O/72ND STE
PALMDALE CA","34.617931, -117.998142"
"2,301",3025-015-900,VAC/COR 70TH STE/AVE O PALMDALE CA 93552,L A City Ex at Acq,LA City,Government,Government Parcel,93552,7063,unincorporated,236008,8800,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,0,0,,,,,,1128953056000,0,0,3025-015,3025-NDX,TRACT NO 8597 LOTS 49 AND 50 AND EX OF,,,,,ST LOTS 57 AND LOT   58,34,-118,"6,560,763","2,047,345","VAC/COR 70TH STE/AVE O
PALMDALE CA","34.618166, -118.003002"
"10,108",2221-020-900,,L A  City Dept of Water & Power,LADWP,Residential,Single,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.201772, -118.459312"
"10,212",5205-010-902,,L A  City Dept of Water & Power,LADWP,Industrial,Industrial,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.081312, -118.219416"
"10,110",2222-001-900,,L A City,LA City,Government,Government Parcel,,16,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.215433, -118.466382"
"2,358",3025-025-900,VAC/COR 40TH STE/AVE P8 PALMDALE CA 93552,L A City Ex at Acq,LA City,Government,Government Parcel,93552,6947,unincorporated,236008,8800,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,0,0,,,,,,,0,0,3025-025,3025-NDX,TRACT NO 2821  0.85 MORE OR LESS AC,BEING EX OF STS S 170.16 FT MEASURED AT,R/A TO S LINE OF W 256 FT MEASURED AT,,,R/A TO W LINE OF LOT    5,34,-118,"6,544,220","2,038,955","VAC/COR 40TH STE/AVE P8
PALMDALE CA","34.595098, -118.057971"
"2,359",3025-025-901,VAC/COR 45TH STE/AVE P8 PALMDALE CA 93552,L A City Ex at Acq,LA City,Government,Government Parcel,93552,6947,unincorporated,236008,8800,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,0,0,,,,,,,0,0,3025-025,3025-NDX,TRACT NO 2821  0.94 MORE OR LESS AC,BEING EX OF ST E 134 FT MEASURED AT R/A,TO E LINE OF S 325.07 FT MEASURED AT R/A,,,TO S LINE OF LOT   12,34,-118,"6,546,633","2,039,009","VAC/COR 45TH STE/AVE P8
PALMDALE CA","34.595250, -118.049952"
"10,217",5205-012-900,,L A City,LA City,Government,Government Parcel,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.081407, -118.220380"
"2,440",3025-043-900,VAC/50TH STE/VIC AVE O12 PALMDALE CA 93552,L A City,LA City,Government,Government Parcel,93552,7033,unincorporated,236000,8800,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,0,0,,,,,,,0,0,3025-043,3025-NDX,S 2 ACS OF E 1/2 OF E 1/2 OF NE 1/4 OF,SE 1/4 (EX OF ST) OF,,,,SEC   16 T   6N R 11W,34,-118,"6,549,175","2,042,960","VAC/50TH STE/VIC AVE O12
PALMDALE CA","34.606111, -118.041512"
"2,441",3025-043-901,VAC/50TH STE/VIC AVE O9 PALMDALE CA 93552,L A City,LA City,Government,Government Parcel,93552,7033,unincorporated,236000,8800,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,0,0,,,,,,,0,0,3025-043,3025-NDX,S 77.75 FT OF N 528 FT OF W 145 FT OF E,185 FT OF NE 1/4 OF NE 1/4 OF SE 1/4 OF,,,,SEC   16 T   6N R 11W,34,-118,"6,549,245","2,043,639","VAC/50TH STE/VIC AVE O9
PALMDALE CA","34.607976, -118.041281"
"10,112",2526-004-908,,L A City,LA City,Residential,Single,,378,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.287089, -118.394483"
"10,113",2526-004-909,,L A City,LA City,Residential,Single,,378,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.286922, -118.392904"
"10,218",5205-012-901,,L A City,LA City,Government,Government Parcel,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.081111, -118.220733"
"10,219",5205-019-900,,L A City Police Dept,LA City,Government,Government Parcel,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.078682, -118.215653"
"10,117",2528-002-903,,L A City,LA City,Commercial,Commercial,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.272548, -118.390175"
"10,118",2528-002-904,,L A City,LA City,Commercial,Commercial,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.272722, -118.389785"
"2,704",3028-013-900,VAC/VIC AVE P8/85TH STE SUN VILLAGE CA 93552,L A City Ex at Acq,LA City,Government,Government Parcel,93552,4683,unincorporated,236008,8800,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,0,0,,,,,,1080114494000,0,0,3028-013,3028-NDX,THAT PART OF LOT 1 IN SE 1/4 OF SE 1/4,,,,,OF NW 1/4 OF SEC   19 T   6N R 10W,34,-117,"6,567,918","2,039,057","VAC/VIC AVE P8/85TH STE
SUN VILLAGE CA","34.595392, -117.979226"
"2,705",3028-013-901,VAC/VIC AVE P6/80TH STE SUN VILLAGE CA 93552,L A City Ex at Acq,LA City,Government,Government Parcel,93552,4683,unincorporated,236008,8800,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,0,0,,,,,,,0,0,3028-013,3028-NDX,THAT PART OF LOT 2 IN S 1/2 OF NW 1/4 OF,SW 1/4 OF NW 1/4 OF,,,,SEC   19 T   6N R 10W,34,-117,"6,565,903","2,039,539","VAC/VIC AVE P6/80TH STE
SUN VILLAGE CA","34.596717, -117.985921"
"10,119",2528-002-905,,L A City,LA City,Commercial,Commercial,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.272368, -118.390684"
"2,836",3038-001-270,VAC/VIC AVE V/116TH STE PEARBLOSSOM CA 93553,L A  City Dept of Water & Power,LADWP,Government,Government Parcel,93553,4664,unincorporated,236924,880V,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,"4,046",0,0,0,0,0,0,0,"1,987","1,987",,,,,,1429623866000,0,0,3038-001,3038-NDX,TR=7037*(EX T/L EASE) THROUGH,,,,,LOT    A,34,-117,"6,585,075","2,009,332","VAC/VIC AVE V/116TH STE
PEARBLOSSOM CA","34.513688, -117.922291"
"10,120",2528-007-900,,L A City,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.258230, -118.394546"
"10,121",2528-030-902,,L A  City Dept of Water & Power,LADWP,Residential,Single,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.267376, -118.357956"
"2,973",3056-001-270,VAC/DUSTY TRAIL/VIC BINON VIEW PALMDALE CA 93550,L A  City Dept of Water & Power,LADWP,Government,Government Parcel,93550,8940,unincorporated,236924,880V,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,"3,453",0,0,0,0,0,0,0,"1,978","1,978",,,,,,,0,0,3056-001,3056-NDX,T/L EASE (PER OR 16023-122) THROUGH,SE 1/4 OF NE 1/4 OF,,,,SEC   36 T   5N R 12W,34,-118,"6,537,115","1,995,097","VAC/DUSTY TRAIL/VIC BINON VIEW
PALMDALE CA","34.474570, -118.081461"
"10,221",5207-003-900,,L A City,LA City,Government,Government Parcel,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.086256, -118.211880"
"10,122",2528-030-903,,L A  City Dept of Water & Power,LADWP,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.268800, -118.355768"
"10,222",5207-003-901,,L A City,LA City,Government,Government Parcel,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.085929, -118.212301"
"10,123",2528-030-904,,L A City,LA City,Industrial,Mineral Processing,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.270730, -118.355880"
"10,223",5207-003-902,,L A City,LA City,Government,Government Parcel,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.086626, -118.211141"
"10,124",2529-021-901,,L A City,LA City,Government,Government Parcel,,208,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.275671, -118.366394"
"10,224",5207-003-903,,L A City,LA City,Residential,Single,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.086071, -118.211340"
"10,225",5207-005-900,,L A City S by S,LA City,Government,Government Parcel,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.087940, -118.207991"
"3,347",3170-031-293,VAC AVE 012/VIC 45 ST E PALMDALE CA 93550,,,Irrigated Farm,Desert,93550,3438,unincorporated,0,580V,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,"455,642",0,0,0,0,0,0,0,"1,975","1,975",,,,,,1129978277000,20030530,0,3170-031,3170-NDX,FOR DESC SEE ASSESSOR'S MAPS POR OF SE,,,,,1/4 OF SEC 4 T 6N R 11W,34,-118,"6,548,054","2,053,515","VAC AVE 012/VIC 45 ST E
PALMDALE CA","34.635113, -118.045251"
"10,227",5207-009-900,,L A City,LA City,Government,Government Parcel,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.092767, -118.205855"
